"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Eric Dick","CLB","2021","GK","$85,444","$85,444","2021-09-30"
"","Michael Nelson","HOU","2021","GK","$85,444","$85,444","2021-09-30"
"","Handwalla Bwana","NSH","2021","F","$85,444","$85,444","2021-09-30"
"","Justin vom Steeg","LAG","2021","GK","$85,444","$85,444","2021-09-30"
"","Matt LaGrassa","NSH","2021","M","$85,444","$85,444","2021-09-30"
"","Tony Rocha","NYC","2021","M","$85,444","$85,444","2021-09-30"
"","Maikel Chang","RSL","2021","M","$85,444","$85,444","2021-09-30"
"","Graham Smith","SKC","2021","D","$85,444","$85,444","2021-09-30"
"","Pablo Bonilla","POR","2021","D","$85,444","$85,444","2021-09-30"
"","Jon Kempin","DCU","2021","GK","$85,444","$85,444","2021-09-30"
"","Miguel Berry","CLB","2021","F","$85,444","$85,444","2021-09-30"
"","Jeremy Kelly","COL","2021","D","$85,444","$85,444","2021-09-30"
"","Justin Portillo","RSL","2021","M","$85,444","$85,444","2021-09-30"
"","Kai Koreniuk","LAG","2021","M","$85,444","$85,444","2021-09-30"
"","Julian Dunn-Johnson","TOR","2021","D","$85,444","$85,444","2021-09-30"
"","Renzo Zambrano","POR","2021","M","$85,444","$85,444","2021-09-30"
"","Kyle Zobeck","FCD","2021","GK","$85,444","$85,444","2021-09-30"
"","Mason Stajduhar","ORL","2021","GK","$85,444","$85,444","2021-09-30"
"","Andrew Brody","RSL","2021","M","$81,375","$85,208","2021-09-30"
"","Rocco Romeo","TOR","2021","D","$81,250","$84,641","2021-09-30"
"","Cameron Duke","SKC","2021","M","$81,375","$84,375","2021-09-30"
"","Marcus Godinho","VAN","2021","D","$81,375","$84,375","2021-09-30"
"","Orrin McKinze Gaines II","ATX","2021","F","$81,375","$84,125","2021-09-30"
"","Fanendo Adi","MIN","2021","F","$81,375","$83,875","2021-09-30"
"","Reed Baker-Whiting","SEA","2021","M","$63,547","$83,547","2021-09-30"
"","Antonio Leone","LAFC","2021","D","$81,375","$83,375","2021-09-30"
"","Julian Gaines","LAFC","2021","D","$81,375","$83,375","2021-09-30"
"","Callum Montgomery","MIN","2021","D","$81,375","$83,292","2021-09-30"
"","Michee Ngalina","LAFC","2021","F","$81,375","$82,875","2021-09-30"
"","Christian McFarlane","NYC","2021","D","$63,547","$81,803","2021-09-30"
"","Indiana Vassilev","MIA","2021","F","$81,375","$81,375","2021-09-30"
"","Michael Edwards","COL","2021","D","$81,375","$81,375","2021-09-30"
"","Earl Edwards Jr.","NER","2021","GK","$81,375","$81,375","2021-09-30"
"","Luis Barraza","NYC","2021","GK","$81,375","$81,375","2021-09-30"
"","Dylan Castanheira","MIA","2021","GK","$81,375","$81,375","2021-09-30"
"","Eric López","LAG","2021","GK","$81,375","$81,375","2021-09-30"
"","Sean Nealis","NYRB","2021","D","$81,375","$81,375","2021-09-30"
"","Micael DeShields","DCU","2021","D","$81,375","$81,375","2021-09-30"
"","Hassani Dotson","MIN","2021","M","$81,375","$81,375","2021-09-30"
"","Theo Bair","VAN","2021","F","$81,375","$81,375","2021-09-30"
"","Jared Stroud","ATX","2021","M","$81,375","$81,375","2021-09-30"
"","Jonathan Klinsmann","LAG","2021","GK","$81,375","$81,375","2021-09-30"
"","Cal Jennings","LAFC","2021","F","$81,375","$81,375","2021-09-30"
"","George Acosta","MIA","2021","M","$81,375","$81,375","2021-09-30"
"","Erick Torres","ATL","2021","F","$81,375","$81,375","2021-09-30"
"","Collen Warner","COL","2021","M","$81,375","$81,375","2021-09-30"
"","Caiser Gomes","FCD","2021","D","$81,375","$81,375","2021-09-30"
"","Marvin Loría","POR","2021","M","$81,375","$81,375","2021-09-30"
"","Elliot Panicco","NSH","2021","GK","$81,375","$81,375","2021-09-30"
"","Alex De John","ATL","2021","D","$81,375","$81,375","2021-09-30"
"","Federico Higuaín","MIA","2021","M","$81,375","$81,375","2021-09-30"
"","Adam Grinwis","ORL","2021","GK","$81,375","$81,375","2021-09-30"
"","Aurélien Collin","PHI","2021","D","$81,375","$81,375","2021-09-30"
"","Ben Lundgaard","ATL","2021","GK","$81,375","$81,375","2021-09-30"
"","Simon Colyn","VAN","2021","M","$81,375","$81,375","2021-09-30"
"","Spencer Richey","SEA","2021","GK","$81,375","$81,375","2021-09-30"
"","Mikey Ambrose","ATL","2021","D","$81,375","$81,375","2021-09-30"
"","Thomas Hasal","VAN","2021","GK","$81,375","$81,375","2021-09-30"
"","Boniek García","HOU","2021","M","$81,375","$81,375","2021-09-30"
"","Tony Alfaro","DCU","2021","D","$81,375","$81,375","2021-09-30"
"","Justin Haak","NYC","2021","M","$81,375","$81,375","2021-09-30"
"","Fredy Montero","SEA","2021","F","$81,375","$81,375","2021-09-30"
"","Cody Mizell","NYC","2021","GK","$81,375","$81,375","2021-09-30"
"","Kekuta Manneh","ATX","2021","F","$81,375","$81,375","2021-09-30"
"","Joseph Rosales","MIN","2021","M","$81,375","$81,375","2021-09-30"
"","Kyle Morton","HOU","2021","GK","$81,375","$81,375","2021-09-30"
"","Tah Brian Anunga","NSH","2021","M","$81,375","$81,375","2021-09-30"
"","Gedion Zelalem","NYC","2021","M","$81,375","$81,375","2021-09-30"
"","Chris Duvall","CIN","2021","D","$81,375","$81,375","2021-09-30"
"","Sam Junqua","HOU","2021","D","$81,375","$81,375","2021-09-30"
"","Adrien Pérez","DCU","2021","F","$81,375","$81,375","2021-09-30"
"","Chase Gasper","MIN","2021","D","$81,375","$81,375","2021-09-30"
"","Collin Verfurth","NER","2021","D","$81,375","$81,375","2021-09-30"
"","Carlos Harvey","LAG","2021","D","$81,375","$81,375","2021-09-30"
"","Erik McCue","HOU","2021","D","$81,375","$81,375","2021-09-30"
"","Dom Dwyer","TOR","2021","F","$81,375","$81,375","2021-09-30"
"","Jon Gallagher","ATX","2021","F","$81,375","$81,375","2021-09-30"
"","Nicholas DePuy","LAG","2021","D","$81,375","$81,375","2021-09-30"
"","Drew Skundrich","DCU","2021","M","$81,375","$81,375","2021-09-30"
"","Amar Sejdic","ATL","2021","M","$81,375","$81,375","2021-09-30"
"","Marlon Hairston","CLB","2021","M","$81,375","$81,375","2021-09-30"
"","Ismaila Jome","POR","2021","D","$81,375","$81,375","2021-09-30"
"","Jovanny Bolívar","DCU","2021","F","$81,375","$81,375","2021-09-30"
"","Felipe Hernandez","SKC","2021","M","$81,375","$81,375","2021-09-30"
"","David Bingham","POR","2021","GK","$81,375","$81,375","2021-09-30"
"","Kimarni Smith","DCU","2021","M","$81,375","$81,375","2021-09-30"
"","Douglas Martínez","RSL","2021","F","$81,375","$81,375","2021-09-30"
"","Ethan Dobbelaere","SEA","2021","M","$67,360","$81,360","2021-09-30"
"","Andres Jasson","NYC","2021","M","$63,547","$80,691","2021-09-30"
"","George Campbell","ATL","2021","D","$80,000","$80,000","2021-09-30"
"","Tyler Wolff","ATL","2021","F","$75,000","$79,500","2021-09-30"
"","Jack McGlynn","PHI","2021","M","$64,992","$78,892","2021-09-30"
"","Dantouma Toure","COL","2021","F","$63,547","$78,165","2021-09-30"
"","Juan Castilla","HOU","2021","M","$63,547","$77,897","2021-09-30"
"","Brandan Craig","PHI","2021","M","$65,000","$77,825","2021-09-30"
"","Patrick Weah","MIN","2021","M","$63,547","$76,733","2021-09-30"
"","Owen Wolff","ATX","2021","M","$63,547","$76,600","2021-09-30"
"","Tomas Giraldo","MTL","2021","M","$66,724","$75,481","2021-09-30"
"","Emmanuel Ochoa","SJE","2021","GK","$65,000","$75,080","2021-09-30"
"","Kamron Habibullah","VAN","2021","M","$63,547","$74,429","2021-09-30"
"","Darren Yapi","COL","2021","F","$63,547","$74,380","2021-09-30"
"","Shandon Hopeau","SEA","2021","M","$66,724","$74,360","2021-09-30"
"","Jeffrey Dewsnup","RSL","2021","GK","$63,547","$73,372","2021-09-30"
"","Dominick Hernandez","FCD","2021","M","$63,547","$73,237","2021-09-30"
"","Alistair Johnston","NSH","2021","M","$73,079","$73,079","2021-09-30"
"","Damiano Pecile","VAN","2021","M","$66,724","$72,818","2021-09-30"
"","Fred Emmings","MIN","2021","GK","$66,724","$72,724","2021-09-30"
"","Omar Sowe","NYRB","2021","F","$63,547","$72,633","2021-09-30"
"","Matteo Campagna","VAN","2021","D","$63,547","$72,559","2021-09-30"
"","Rida Zouhir","MTL","2021","M","$63,547","$71,730","2021-09-30"
"","Luke Singh","TOR","2021","D","$63,547","$71,513","2021-09-30"
"","Wilson Harris","SKC","2021","F","$67,360","$71,212","2021-09-30"
"","Benjamin Redzic","FCD","2021","M","$63,547","$71,169","2021-09-30"
"","Jonathan Sirois","MTL","2021","GK","$66,724","$71,167","2021-09-30"
"","Ralph Priso-Mbongue","TOR","2021","M","$66,724","$70,476","2021-09-30"
"","Selmir Miscic","PHI","2021","M","$63,547","$70,026","2021-09-30"
"","John Pulskamp","SKC","2021","GK","$67,360","$69,860","2021-09-30"
"","Benjamin Kikanovic","SJE","2021","F","$63,547","$69,322","2021-09-30"
"","Gianfranco Facchineri","VAN","2021","D","$66,724","$68,724","2021-09-30"
"","Kayden Pierre","SKC","2021","D","$63,547","$68,647","2021-09-30"
"","Alex Monis","CHI","2021","M","$66,724","$68,624","2021-09-30"
"","Allan Rodriguez","CHI","2021","M","$66,724","$68,624","2021-09-30"
"","Chris Brady","CHI","2021","GK","$66,724","$68,624","2021-09-30"
"","Brian Gutierrez","CHI","2021","M","$66,724","$68,624","2021-09-30"
"","Javier Casas","CHI","2021","M","$66,724","$68,624","2021-09-30"
"","Joshua Atencio","SEA","2021","M","$63,547","$68,161","2021-09-30"
