"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Gustavo Bou","NER","2021","M","$2,120,000","$2,120,000","2021-09-30"
"","Raúl Ruidíaz","SEA","2021","F","$2,100,000","$2,100,000","2021-09-30"
"","Ryan Gauld","VAN","2021","M","$1,920,000","$2,025,000","2021-09-30"
"","Jonathan dos Santos","LAG","2021","M","$2,000,000","$2,000,000","2021-09-30"
"","Lucas Zelarayán","CLB","2021","M","$1,620,000","$1,985,000","2021-09-30"
"","Yeferson Soteldo","TOR","2021","F","$1,500,000","$1,965,000","2021-09-30"
"","Mauricio Pereyra","ORL","2021","M","$1,800,000","$1,848,000","2021-09-30"
"","Brenner","CIN","2021","F","$1,221,820","$1,760,420","2021-09-30"
"","Cecilio Domínguez","ATX","2021","F","$1,530,000","$1,736,000","2021-09-30"
"","Edison Flores","DCU","2021","M","$1,600,000","$1,733,000","2021-09-30"
"","Darlington Nagbe","CLB","2021","M","$1,710,000","$1,710,000","2021-09-30"
"","Johnny Russell","SKC","2021","F","$1,600,000","$1,600,000","2021-09-30"
"","Jürgen Damm","ATL","2021","M","$1,290,000","$1,582,510","2021-09-30"
"","Hany Mukhtar","NSH","2021","M","$1,505,000","$1,505,000","2021-09-30"
"","Yimmi Chará","POR","2021","M","$1,200,000","$1,503,000","2021-09-30"
"","Blaise Matuidi","MIA","2021","M","$1,500,000","$1,500,000","2021-09-30"
"","Michael Bradley","TOR","2021","M","$1,500,000","$1,500,000","2021-09-30"
"","Jamiro Monteiro","PHI","2021","M","$1,300,000","$1,476,250","2021-09-30"
"","Kevin Cabral","LAG","2021","F","$1,440,000","$1,440,000","2021-09-30"
"","Gyasi Zardes","CLB","2021","F","$1,350,000","$1,400,000","2021-09-30"
"","Lucas Cavallini","VAN","2021","F","$1,100,000","$1,362,500","2021-09-30"
"","Darwin Quintero","HOU","2021","F","$1,352,060","$1,352,060","2021-09-30"
"","Damir Kreilach","RSL","2021","M","$1,200,000","$1,350,000","2021-09-30"
